song,album_name,date_of_release,duration,popularity,tempo,danceability,loudness,artist_name
Mood Swings,Shoot For The Stars Aim For The Moon,2020-07-03,3.56,89,179.798,0.48,-6.335,Pop Smoke Featuring Lil Tjay
You Should Be Sad,Manic,2020-01-17,3.42,82,110.94,0.591,-6.35,Halsey
Dior,Meet The Woo,2019-07-26,3.61,86,142.094,0.548,-5.732,Pop Smoke
Supalonely,STELLA & STEVE,2019-11-15,3.72,84,128.977,0.863,-4.689,BENEE Featuring Gus Dapperton
Even Though I'm Leaving,What You See Is What You Get,2019-11-08,3.75,75,77.962,0.554,-6.04,Luke Combs
The Scotts,THE SCOTTS,2020-04-24,2.77,86,129.979,0.716,-7.648,"THE SCOTTS, Travis Scott & Kid Cudi"
Juicy,Hot Pink,2019-11-07,3.38,75,170.031,0.786,-2.607,Doja Cat & Tyga
Be Like That,Be Like That (feat. Swae Lee & Khalid),2020-07-10,3.19,85,86.97,0.727,-8.415,Kane Brown With Swae Lee & Khalid
Homesick,Experiment Extended,2019-11-01,3.42,71,97.028,0.701,-8.82,Kane Brown
Rags2Riches,Pray 4 Love (Deluxe),2020-08-07,3.93,80,118.004,0.874,-9.628,Rod Wave Featuring ATR Son Son
Bluebird,Wildcard,2019-11-01,3.5,72,81.984,0.661,-5.986,Miranda Lambert
Wishing Well,Legends Never Die,2020-07-10,3.24,90,149.972,0.65,-6.13,Juice WRLD
Does To Me,What You See Is What You Get,2019-11-08,3.72,72,113.065,0.616,-4.897,Luke Combs Featuring Eric Church
P*$$Y Fairy (OTW),P*$$Y Fairy (OTW),2020-01-17,3.03,74,128.331,0.572,-7.092,
ily,ily (i love you baby) (feat. Emilee),2019-11-26,2.94,88,112.05,0.674,-7.567,surf mesa Featuring Emilee
More Than My Hometown,More Than My Hometown,2020-04-17,3.61,81,126.014,0.621,-5.01,Morgan Wallen
Lovin' On You,What You See Is What You Get,2019-11-08,3.25,75,118.974,0.572,-4.865,Luke Combs
Said Sum,Code Red,2020-09-18,2.59,75,126.998,0.929,-6.789,Moneybagg Yo
Slide,Slide,2019-09-27,3.97,77,97.028,0.827,-9.141,H.E.R. Featuring YG
Walk Em Down,Walk Em Down (feat. Roddy Ricch),2020-03-19,2.89,79,84.005,0.867,-5.171,NLE Choppa Featuring Roddy Ricch
